Output:

2018-03-23 08:38:39	Starting iteration: 1/19. Stock: Aker Solutions. Sample size: 125 
2018-03-23 08:39:00		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 4/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:39:00		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 0/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:39:01		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 5/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:39:01		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 1/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:39:01		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 2/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:39:02		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 3/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:39:12		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 9/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:39:12		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 10/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:39:12		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 7/1553. Distribution: Generalized Error Distribution. Model: eGARCH(1011). Iterasjon fullført!
2018-03-23 08:39:13		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 6/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:39:14		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 8/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:39:22		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 14/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:39:22		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 15/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:39:23		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 16/1553. Distribution: Generalized Error Distribution. Model: eGARCH(1011). Iterasjon fullført!
2018-03-23 08:39:26		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 13/1553. Distribution: Generalized Error Distribution. Model: eGARCH(1011). Iterasjon fullført!
2018-03-23 08:39:32		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 17/1553. Distribution: Generalized Error Distribution. Model: eGARCH(1011). Iterasjon fullført!
2018-03-23 08:39:32		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 18/1553. Distribution: Generalized Error Distribution. Model: eGARCH(1011). Iterasjon fullført!
2018-03-23 08:39:32		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 12/1553. Distribution: Generalized Error Distribution. Model: eGARCH(1111). Iterasjon fullført!
2018-03-23 08:39:34		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 19/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
2018-03-23 08:39:35		Iteration: 1/19. Stock: Aker Solutions. Sample size: 125. Day: 11/1553. Distribution: Generalized Error Distribution. Model: eGARCH(0011). Iterasjon fullført!
